,phrase,intents
0,"define airline ua , names of airports and also show me city served both by nationair and canadian airlines international","atis_abbreviation,atis_airport,atis_city"
1,how many seats in a 100 and also which cities are serviced by both american and delta airlines,"atis_capacity,atis_city"
2,show me the type of aircraft that cp uses and what time zone is denver in,"atis_aircraft,atis_city"
3,show me ground transportation in westchester county,atis_ground_service
4,is there a meal on delta flight 852 from san francisco to dallas fort worth and list the number of flights leaving boston for dallas fort worth before 9 am in the morning,"atis_meal,atis_quantity"
5,"what kind of aircraft will i be flying on if i take a first class american airlines flight from philadelphia to dallas , i would like the flight number and the time for the cheapest fare that is the least expensive first class fare from san francisco to pittsburgh leaving after 8 pm monday night and also i would like the time of all flights from san francisco to pittsburgh on sunday","atis_aircraft,atis_flight_no,atis_flight_time"
6,show me the ground transportation in denver,atis_ground_service
7,show me city served both by nationair and canadian airlines international and what types of ground transportation are there to san francisco airport,"atis_city,atis_ground_service"
8,"what are the cities that american airlines serves , can you list costs of denver rental cars and then is there a meal on delta flight 852 from san francisco to dallas fort worth","atis_city,atis_ground_fare,atis_meal"
9,show me the cheapest fare in the database and please show me the return flight number from toronto to st. petersburg,"atis_cheapest,atis_flight_no"
10,"what airport is at tampa , show me all flights from pittsburgh to philadelphia which arrive before 8 o'clock am on wednesday and then ground transportation between airport and downtown in boston","atis_airport,atis_flight,atis_ground_service"
11,i want to know what flights you have available coach or economy class from baltimore to dallas and show me ground transportation in san francisco,"atis_flight,atis_ground_service"
12,"what's the airport at orlando , please show me the return flight number from toronto to st. petersburg and also i need ground transportation in seattle","atis_airport,atis_flight_no,atis_ground_service"
13,what are the schedule of flights from boston to san francisco for august first,atis_flight_time
14,what is the name of the airport in philadelphia and then what is the distance between pittsburgh airport and downtown pittsburgh,"atis_airport,atis_distance"
15,"what are the flights from orlando to kansas city , what is the minimum connection time for houston intercontinental and then what are the air restrictions on flights from pittsburgh to atlanta for the airfare of 416 dollars","atis_flight,atis_flight_time,atis_restriction"
16,please inform me the type of aircraft used on a flight from atlanta to denver before 12 o'clock noon and also fares and flights from baltimore to philadelphia,"atis_aircraft,atis_airfare"
17,is there a meal on delta flight 852 from san francisco to dallas fort worth and what are the restrictions on the cheapest one way fare between boston and oakland,"atis_meal,atis_restriction"
18,"what does fare code qo mean , please list the flights from toronto to washington dc and also i would like the flight number and the time for the cheapest fare that is the least expensive first class fare from san francisco to pittsburgh leaving after 8 pm monday night","atis_abbreviation,atis_flight,atis_flight_no"
19,what's the name of the denver airport,atis_airport
20,what are the rental car rates in dallas,atis_ground_fare
21,"houston airports , what are the schedule of flights from boston to san francisco for august first and then what is restriction ap57","atis_airport,atis_flight_time,atis_restriction"
22,"please show me all airports in denver , what price is a limousine service to new york's la guardia and then how many flights does twa have in business class","atis_airport,atis_ground_fare,atis_quantity"
23,first class price san francisco pittsburgh round trip and then what is restriction ap57,"atis_airfare,atis_restriction"
24,what is the distance from san francisco international airport to san francisco and is there a flight between oakland and boston with a stopover in dallas fort worth on twa,"atis_distance,atis_flight"
25,what price is a limousine service in boston and then what is restriction ap57,"atis_ground_fare,atis_restriction"
26,what is restriction ap80,atis_restriction
27,what is fare code f and also how many fare codes belong to economy class,"atis_abbreviation,atis_quantity"
28,airports in new york and then what are the rental car rates in san francisco,"atis_airport,atis_ground_fare"
29,show me the cheapest fare in the database and ground transportation san francisco,"atis_cheapest,atis_ground_service"
30,what times does the late afternoon flight leave from washington for denver and what ground transportation is available in san francisco,"atis_flight_time,atis_ground_service"
31,how many people fit on a 73s and then what is restriction ap80,"atis_capacity,atis_restriction"
32,"what is the fare code y and what is the fare code h , give me a list of airports in baltimore and also how far is the airport from downtown pittsburgh","atis_abbreviation,atis_airport,atis_distance"
33,what is the name of the airport in philadelphia and then i would like the flight number and the time for the cheapest fare that is the least expensive first class fare from san francisco to pittsburgh leaving after 8 pm monday night,"atis_airport,atis_flight_no"
34,what type of aircraft leaves from boston to washington dc at 9 am and then what's the capacity of a 733,"atis_aircraft,atis_capacity"
35,i'd like a flight from montreal to san diego for sunday and then what are the rental car rates in san francisco,"atis_flight,atis_ground_fare"
36,what cities does continental service,atis_city
37,please list the prices for a rental car in pittsburgh and also what are all the available meals,"atis_ground_fare,atis_meal"
38,what are the seating capacities of planes between pittsburgh and baltimore,atis_capacity
39,how many passengers fit on a d9s and also what are the rental car rates in san francisco,"atis_capacity,atis_ground_fare"
40,"what airport is at tampa , on continental flight 1765 from boston to san francisco what type of meal is served and may i have a listing of flight numbers from columbus ohio to minneapolis minnesota on monday","atis_airport,atis_flight,atis_flight_no"
41,"does the philadelphia airport have a name , show me the cheapest fare in the database and then what is the number of first class flights on american airlines","atis_airport,atis_cheapest,atis_flight_no"
42,show me the cheapest fare in the database and what's the last flight leaving from pittsburgh to oakland,"atis_cheapest,atis_flight"
43,what is the cost of the air taxi operation at philadelphia international airport,atis_ground_fare
44,please list information regarding san francisco airport and also i would like the flight number and the time for the cheapest fare that is the least expensive first class fare from san francisco to pittsburgh leaving after 8 pm monday night,"atis_airport,atis_flight_no"
45,saturday flights from las vegas to montreal and what are the schedule of flights from boston to san francisco for august first,"atis_flight,atis_flight_time"
46,"what does fare code y mean , does the philadelphia airport have a name and what is the distance between pittsburgh airport and downtown pittsburgh","atis_abbreviation,atis_airport,atis_distance"
47,what airlines fly from boston to atlanta,atis_airline
48,"lowest fare from san francisco to orlando , what is the seating capacity of the various airplanes that united airlines uses and also could you give me the schedule of flights for american and delta to dfw on august fifteenth","atis_airfare,atis_capacity,atis_flight_time"
49,where is general mitchell international located and then what are all the available meals,"atis_city,atis_meal"
50,does any airline have an early afternoon flight from boston to denver and then what are the air restrictions on flights from pittsburgh to atlanta for the airfare of 416 dollars,"atis_airline,atis_restriction"
51,"which airline has the most arrivals in atlanta , show me the cheapest fare in the database and also show me a list of flights from denver to san francisco for september first 1991","atis_airline,atis_cheapest,atis_flight"
52,show me boston ground transportation,atis_ground_service
53,"which airlines fly from toronto to san diego and have a stopover in denver , show me the cheapest fare in the database and also is there a meal on delta flight 852 from san francisco to dallas fort worth","atis_airline,atis_cheapest,atis_meal"
54,ground transportation minneapolis and then show me all meals on flights from atlanta to washington,"atis_ground_service,atis_meal"
55,i'd like to know what type of plane flies from boston to dallas fort worth after 530 and then show me all the cities that midwest express serves,"atis_aircraft,atis_city"
56,i'm trying to find the flight number from a flight from orlando to cleveland on us air and it arrives around 10 pm,atis_flight_no
57,"what does the fare code qx mean , what is the distance between pittsburgh airport and downtown pittsburgh and what is restriction ap80","atis_abbreviation,atis_distance,atis_restriction"
58,what is the arrival time in san francisco for the 755 am flight leaving washington,atis_flight_time
59,show me the cheapest fare in the database,atis_cheapest
60,"what type of aircraft leaving philadelphia to dallas , how long does it take to get from kansas city to st. paul and what is the cost of the air taxi operation at philadelphia international airport","atis_aircraft,atis_distance,atis_ground_fare"
61,"could you please give me the round trip fare from denver to atlanta , what is the cost of limousine service in philadelphia and also how many united flights are there to san francisco","atis_airfare,atis_ground_fare,atis_quantity"
62,"airline code as , please list the flights leaving from st. louis to st. paul after 10 am and then how much is the ground transportation between atlanta and downtown","atis_airline,atis_flight,atis_ground_fare"
63,show me the cheapest fare in the database and is bwi washington,"atis_cheapest,atis_city"
64,which airline has more business class flights than any other airline and what city is the airport mco in,"atis_airline,atis_city"
65,"please list information regarding san francisco airport , what is the distance from la guardia to new york's downtown and also what are the rental car rates in san francisco","atis_airport,atis_distance,atis_ground_fare"
66,which airlines have flights from denver to pittsburgh and then how long does it take to get from atlanta airport into the city of atlanta,"atis_airline,atis_distance"
67,what's the airport at orlando and then list the number of flights leaving boston for dallas fort worth before 9 am in the morning,"atis_airport,atis_quantity"
68,airports in new york and do i get a meal on the atlanta to bwi flight eastern 210,"atis_airport,atis_meal"
69,okay i would like to know the type of aircraft used on a flight from cleveland to dallas please and which airline provides business class flights,"atis_aircraft,atis_airline"
70,list number of people that can be carried on each type of plane that flies between pittsburgh and baltimore and flight leaving chicago to nashville,"atis_capacity,atis_flight"
71,names of airports and then what is restriction ap57,"atis_airport,atis_restriction"
72,"are there any other cities that i can fly from boston to dallas through that i can get a flight earlier than 1017 in the morning , what time does flight aa 459 depart and then do i get a meal on the atlanta to bwi flight eastern 210","atis_city,atis_flight_time,atis_meal"
73,do i get a meal on the atlanta to bwi flight eastern 210,atis_meal
74,"what's the difference between fare code q and fare code b , what are the cities that american airlines serves and then what flights are available from denver to dallas fort worth in the afternoons","atis_abbreviation,atis_city,atis_flight"
75,how many airlines fly from new york to los angeles by way of milwaukee,atis_quantity
76,does delta aircraft fly dc10,atis_aircraft
77,"i'm traveling from boston to atlanta and i'd like to go sometime after 5 pm but i want to know what kind of airplane it's on , airline code as and show me the flights from cincinnati to denver","atis_aircraft,atis_airline,atis_flight"
78,what is delta's schedule of morning flights to atlanta,atis_flight_time
79,what are the air restrictions on flights from pittsburgh to atlanta for the airfare of 416 dollars,atis_restriction
80,show me all meals on flights from atlanta to washington and also how many flights come from denver to baltimore on july nineteenth,"atis_meal,atis_quantity"
81,"show me airline abbreviations , show me the cities served by nationair and then how many flights does twa have with business class","atis_airline,atis_city,atis_quantity"
82,"show me the cheapest fare in the database , which cities does united airlines service and then how many flights does delta have with a class of service code f","atis_cheapest,atis_city,atis_quantity"
83,please show me airlines with flights from denver to philadelphia and also what is the arrival time in san francisco for the 755 am flight leaving washington,"atis_airline,atis_flight_time"
84,do the airlines still offer first class and please show me all airports in denver,"atis_airline,atis_airport"
85,what time zone is denver in,atis_city
86,show me all the cities that midwest express serves,atis_city
87,show me the flights from pittsburgh to baltimore arriving in baltimore on june fourteenth and then show me all meals on flights from atlanta to washington,"atis_flight,atis_meal"
88,cheapest fare from indianapolis to seattle and also list the number of flights arriving in dallas fort worth from boston before noon,"atis_airfare,atis_flight_no"
89,what is the cost of a flight from boston to san francisco and also what is restriction ap80,"atis_airfare,atis_restriction"
90,what types of aircraft does delta fly and also what times on wednesday could i take a plane from denver to oakland,"atis_aircraft,atis_flight_time"
91,what does it cost to fly from boston to san francisco on united airlines flight 21,atis_airfare
92,"show me all fares between philadelphia and san francisco that are less than 200 dollars one way , please tell me the times of the flights between boston and baltimore and also how many flights does eastern airlines have from boston to atlanta","atis_airfare,atis_flight_time,atis_quantity"
93,what is restriction ap57,atis_restriction
94,what is bna,atis_abbreviation
95,how far is it from salt lake city airport to salt lake city,atis_distance
96,which airlines fly from boston to washington dc but stopover in some other city and also does the philadelphia airport have a name,"atis_airline,atis_airport"
97,show me the cheapest fare in the database and then how many fare codes belong to economy class,"atis_cheapest,atis_quantity"
98,what is the distance from san francisco international airport to san francisco,atis_distance
99,what's the capacity of a 733 and also how many flights does twa have with business class,"atis_capacity,atis_quantity"
100,"what's the name of the denver airport , what are the rental car rates in dallas and then how many fare codes belong to economy class","atis_airport,atis_ground_fare,atis_quantity"
101,how many seats in a 100 and also is there a meal on delta flight 852 from san francisco to dallas fort worth,"atis_capacity,atis_meal"
102,what is the cost of limousine service in philadelphia,atis_ground_fare
103,what does ewr mean,atis_abbreviation
104,what is the name of the airport in philadelphia,atis_airport
105,what type of aircraft flies from pittsburgh to baltimore and what is restriction ap57,"atis_aircraft,atis_restriction"
106,what aircraft is co 1209,atis_aircraft
107,which airlines fly from boston to washington dc via other cities and then show me the cheapest fare in the database,"atis_airline,atis_cheapest"
108,what are the cities served by delta airlines and then i would like a schedule of flights from san francisco to boston on wednesday,"atis_city,atis_flight_time"
109,are there any other cities that i can fly from boston to dallas through that i can get a flight earlier than 1017 in the morning and then how far is oakland airport from downtown,"atis_city,atis_distance"
110,how long does it take to get from atlanta airport into the city of atlanta and then what time are flights from denver to san francisco on continental airlines,"atis_distance,atis_flight_time"
111,"what's the name of the denver airport , what is the distance between pittsburgh airport and downtown pittsburgh and what are all the available meals","atis_airport,atis_distance,atis_meal"
112,please list the cost of all flights from philadelphia to denver airport next sunday and then please list all airline flights between denver and boston,"atis_airfare,atis_airline"
113,"what is the number of first class flights on american airlines , show me times for flights from san francisco to atlanta and then is there a meal on delta flight 852 from san francisco to dallas fort worth","atis_flight_no,atis_flight_time,atis_meal"
114,where is general mitchell international located,atis_city
115,"show me the cheapest fare in the database , what are the rental car rates in dallas and also what kind of ground transportation is available in atlanta","atis_cheapest,atis_ground_fare,atis_ground_service"
116,is there a flight on united airlines from boston to denver and also what are all the available meals,"atis_flight,atis_meal"
117,flight numbers from minneapolis to long beach on june twenty six,atis_flight_no
118,"can you list costs of denver rental cars , is there a meal on delta flight 852 from san francisco to dallas fort worth and also how many flights does eastern airlines have from boston to atlanta","atis_ground_fare,atis_meal,atis_quantity"
119,what airlines go to pittsburgh,atis_airline
120,"show me the cities served by canadian airlines international , how much would car rental cost in atlanta and what are the air restrictions on flights from pittsburgh to atlanta for the airfare of 416 dollars","atis_city,atis_ground_fare,atis_restriction"
121,show first flight from pittsburgh to atlanta on wednesday and also how many flights does each airline have with first class service,"atis_flight,atis_quantity"
122,"please list information regarding san francisco airport , may i have a listing of flight numbers from columbus ohio to minneapolis minnesota on monday and also how many flights has continental into and out of atlanta","atis_airport,atis_flight_no,atis_quantity"
123,what does ua stand for,atis_abbreviation
124,show me the cheapest fare in the database and also show me all flights from pittsburgh to dallas,"atis_cheapest,atis_flight"
125,what is the cheapest one way ticket from denver to pittsburgh,atis_airfare
126,"what is the flight number of the earliest flight between boston and washington dc , how much would car rental cost in atlanta and is there a meal on delta flight 852 from san francisco to dallas fort worth","atis_flight_no,atis_ground_fare,atis_meal"
127,please show me all airports in denver and how many flights does delta have with a class of service code f,"atis_airport,atis_quantity"
128,"i'd like the cheapest cost fare to fort worth from boston , please list information regarding san francisco airport and ground transportation in san jose","atis_airfare,atis_airport,atis_ground_service"
129,show me the airlines between toronto and denver and what is the flight number for the continental flight which leaves denver at 1220 pm and goes to san francisco,"atis_airline,atis_flight_no"
130,please tell me the times of the flights between boston and baltimore and then how much time does it take to go between the airport and downtown by ground transportation in dallas,"atis_flight_time,atis_ground_service"
131,show me the cheapest fare in the database and a first class flight on american to san francisco on tuesday in the next week,"atis_cheapest,atis_flight"
132,"show me the cheapest fare in the database , list all flights from denver to philadelphia and then show me the ground transportation to westchester county","atis_cheapest,atis_flight,atis_ground_service"
133,please tell me the type of aircraft used from atlanta to denver before 12 o'clock noon,atis_aircraft
134,what are the cities that american airlines serves,atis_city
135,what type of airplane is an m80 and show me all meals on flights from atlanta to washington,"atis_aircraft,atis_meal"
136,can you please tell me the type of aircraft used flying from atlanta to denver on eastern flight 825 leaving at 555 and then i want a one way ticket from dallas to baltimore,"atis_aircraft,atis_airfare"
137,what is the name of the airport in philadelphia and what are all the available meals,"atis_airport,atis_meal"
138,"show me the type of aircraft that canadian airlines uses , i would like your rates between atlanta and boston on september third and then list airlines serving between denver and san francisco","atis_aircraft,atis_airfare,atis_airline"
139,what is the ground transportation between airport and baltimore,atis_ground_service
140,what is mco,atis_abbreviation
141,"what does ea mean , cheapest airfare from orlando to tacoma and also how expensive is the san francisco limousine service","atis_abbreviation,atis_airfare,atis_ground_fare"
142,"what's the capacity of a 733 , how far is it from salt lake city airport to salt lake city and then show me all flights from oakland to philadelphia on saturday which serve a meal","atis_capacity,atis_distance,atis_flight"
143,show me the cheapest fare in the database and also tell me about ground transportation at toronto,"atis_cheapest,atis_ground_service"
144,what is your least expensive fare between atlanta and boston and also how much is the ground transportation between atlanta and downtown,"atis_airfare,atis_ground_fare"
145,what is the total seating capacity of all aircraft of american airlines,atis_capacity
146,"what are the lowest one way fares from atlanta to denver , how far is it from orlando airport to orlando and also list the number of flights arriving in dallas fort worth from boston before noon","atis_airfare,atis_distance,atis_flight_no"
147,does the philadelphia airport have a name and also how much time does it take to go between the airport and downtown by ground transportation in dallas,"atis_airport,atis_ground_service"
