,phrase,intents
200,tried calling back i'm opting out do to my health nd right now it's not in my budget medical bills are expensive even with the best insurance thanks for your time,"['thanks_for_care', 'needs_income', 'system_error', 'cancel_account']"
201,i was told i was gonna be giving a call back an have not received that i'm not sure how you do business but it's unprofessional,"['complaint', 'negative_call_center_experience']"
202,right at the moment i have lost my older brother and have to put him to rest with in the next week so if you don't mind i need to take care of this first please but if you'd rather me call i can do that in the morning please get back to me at your earliest convenience thank you and have a blessed evening,"['delay_funeral', 'schedule_call_day_n_time']"
203,i would appreciate it if you would not contact me i did not contact you i have legal shield and i have total law firm behind me,"['dnc', 'chose_competitor', 'never_requested']"
204,i have asked several times for you guys to leave me alone blocked several numbers but yall keep calling me i said i'd call you when i was ready now stop fucking harassing me,"['delay_conditional', 'dnc', 'excessive_contact']"
205,i will call the office tomorrow the number you are calling from i'm unable to receive for some reason,"['system_error', 'schedule_call_day_n_time']"
206,stop your literally sending me running in the other direction with the pushy calls and texts when i'm ready ill get in touch,"['dnc', 'excessive_contact', 'delay_will_reply']"
207,thanku so much i'll get in touch with u later to help me i been sick for a while so i've been broke havent worked,"['delay_sick', 'courtesy_or_statement', 'delay_finances', 'delay_will_reply']"
208,i really hope someone isn't trying too steal my identity because i haven't talked to anyone from your company and i don't know what this is all about,"['never_requested', 'what_is_this_about']"
209,try again around 2 perhaps i was just connected with a rep and he couldn't hear me i might have poor service on my end,"['phone_issues', 'system_error', 'schedule_call_day_n_time']"
210,well you can call me because i'm severely disappointed things that were taking off there have been put back on there like organization1 money1 was removed months and months and months ago and now all the sudden it's back when i called to address this i got someone who i could not understand very ignorant and very rude well obviously you sent me a text message feel free to call,"['call_now', 'existing_customer_issue', 'negative_call_center_experience']"
211,ive been off of work since i broke my leg at work on august 19th they've paid my medical bills but that's it and as far as yall go i paid yall money and nothing changed with my credit i dont have any income can yall handle a workmens comp claim thanks,"['delay_sick', 'dissatisfied_customer', 'existing_customer_issue', 'needs_income']"
212,sorry i was in a conference call give me a minute i'm setting up your account so we can proceed we do require a minimal 500 dollar amount for a safety deposit and a 95 dollar an hour consultation,"['about_billing', 'cost_demand', 'apology']"
213,i let you know when i ready as i said right now so am financially paying off to of my bills thank you,"['delay_conditional', 'courtesy_or_statement', 'delay_finances']"
214,if its going to cost me money then i'll figure it out on my owni cannot afford any extra expenses at this time or in the near future,"['cost_demand', 'needs_income']"
