,phrase,intents
200,hello name1 i will switch services if you supply 2 new panels and i will pay for 4 cameras additionally i will pay 45month this is what i will have to pay for adding cameras to the plan,"cost_demand,greeting"
201,good morning name1 the prices at vivint are pretty high if you can meet me at my number i would sign up with you right now and schedule installation for tomorrow,"cost_demand,greeting"
202,i got a quote from other vendors and yours is the most expensive they're offering smarthub for integration of what i have at home doorbell camera for as low as 39 monthly,"cost_demand,cost_too_high"
203,so you don't have any deals that are say this amount for this mini cameras i'm just looking for a couple cameras for our house to watch outfront our vehicles,"promo_info,specific_equipment_cost"
204,name1 i am not pursuing further the purchase of a home security system i was only gathering information the monthly monitoring fee is not worth the added expense we live in a very safe suburban neighborhood thanks for reaching out,"not_interested,cost_too_high"
205,hi i am still interested but i just cant focus on this right now i had a death in the family i will contact you next week,"delay_funeral,greeting,is_interested"
206,i want a general quote please i want to have security cameras around the outside of my house and potentially am alarm system how much will that cost,"send_quote,home_specifications,what_does_it_cost"
207,after 5 pm yes i've been searching around for home security i couldn't afford to pay 59999 for equipment right now just moving in the past with the company i had i only paid 40 a month and much less for equipmentmy sister referred me to ur company but she said it wasn't this expensive when she started services with the company there was a special for 199 at the time i'm still shopping around,"cost_demand,schedule_call_day_n_time,needs_income"
208,i have a question i was reading that you can make monthly payments for the equipment i'm going over pricing and it seems like you guys are the most expensive,"about_contract,what_does_it_cost"
209,i talked to vivint a week ago but found it to be uneconomical given i am unable to commit to more than a one year contract,"about_contract,transfer_success,not_interested"
210,hi i just waned to know what come on the installation package and how much is it and monthly im just compering quotes,"delay_evaluating,how_does_it_work,greeting,what_does_it_cost"
211,yes my son told me that you called i am interested on the alarm system gotta give me some time hopefully by hopefully by this friday we should be good,"confirmation,schedule_call_day_n_time,is_interested"
212,i asked for a quote and they couldn't give me a price with out my social i'm not borrowing money from you so i don't see the need for you to have my social security number,"send_quote,not_interested"
213,could we chat on coming monday to discuss on the options i have already purchased few hardware and was wondering whether you support the hardware owned by the owner,"schedule_call_day_n_time,equipment_compatible"
214,next week sometime please continue text me need to speak to my wife can you send text or email with prices,"delay_evaluating,what_does_it_cost"
215,i'm sorry i'm at work but i just don't have the money right now to get it i mean i'll be able to pay every month but i just don't have it to get today,"delay_finances,delay_work,apology"
216,it's old small house nothing fancy so how much would it cost for 2 doorbell systems and for one outside camera,"send_quote,buy_equipment"
217,hey name1 i will be signing up with you soon i am currently trying to buy a house so when that happens i will need vivint,"is_interested,new_home"
218,hello i'm looking at other options at this time because i'm a little disappointed in vivint i was denied getting a doorbell camera because i didn't have good credit i didn't know one has to have good credit to secure their homes that's really absurd i'm more than capable of paying money1 a month it's not like i'm financing a car here like come on,"delay_evaluating,greeting"
219,i had a call and requested a quote options in writing by email is there a range of options and pricing you can send without a specific quote,"send_info,transfer_success,what_does_it_cost"
220,no i no longer need the services and have previously requested that your company stop contacting me,"dnc,negation,not_interested"
221,unless you can approve my application for this then i can't afford to pay for them unless on a payment plan,"promo_info,needs_income"
222,hi name1 i'm not ready to do anything as previous owner is living there for two months was just doing research for now,"future_interest,delay_evaluating,greeting"
223,i closed on a home that has it installed i am getting it ready to rent i will forward your information to the tenant,"new_home,info_for_someone_else"
224,hi name1 i already spoke to name2 last week about a system i just wanted to get a ball park price on what it would cost me if i were to get the system i'm not looking to purchase now as i am looking for a new home once i get settled i will contact vivint thank you,"delay_conditional,what_does_it_cost,transfer_success,greeting,new_home,courtesy_or_statement"
225,hello there yes we were interested but we didn't realize how much it costs for the initial installation we know the installation is free but the devices add up to i believe 599 if i read it correctly we were looking to stay in the 2 to 300 mark and found another company that might be a better fit budget wise,"cost_demand,greeting,cost_too_high"
226,no i'm on the location1 i'm in location2 it's time1 of nine i'm good for the next hour if you can give me a call,"negation,schedule_call_day_n_time,call_now"
227,please take me off of this list i received a call at 11 pm last night i went with another provider thanks,"dnc,chose_competitor"
228,good afternoon where is the site that i can go to in order to view the plans you all have and then have a conversation to set up what i need,"send_info,greeting"
229,can we please discuss this with me later today not feeling well at this given time thank you i do need some help in this matter,"confirmation,schedule_call_day_n_time,is_interested,delay_sick"
230,thank i am getting bids as what is the most cost effective however i cannot talk at the current moment if you can quote me 1246 sqft with 4 doors and ball park on window monitors that would be great,"courtesy_or_statement,what_does_it_cost,home_specifications,delay_hours"
231,i am definitely not interested now since you guys call and hang up the phone on me i already see what your customer service is all about,"system_error,negative_call_center_experience,not_interested"
232,noi concerned about the cost of your equipmenti didn't realize that i would need to purchase everything,"negation,buy_equipment"
233,name1 i have to wait since i am in the hospital now and it is going to cost me a bundle i will get back to you when i get money again be safe name2,"courtesy_or_statement,delay_conditional,delay_finances,delay_sick"
234,we are not going to be moving in until date1 so if that time i will contact you and please stop texting me and contacting me thank you,"dnc,delay_new_house"
235,i decided not to go with your company because it is cost 70month which is a ver high cost comparison with other companies for a townhouse as mine thanks,"courtesy_or_statement,not_interested,cost_too_high"
236,hi name1 we have decided to purchase a individual camera system that i will be installing this weekend we may still upgrade or change the alarm panel in the future and will keep vivint in mind,"future_interest,greeting,has_product"
237,instead of spaming me with text how about i notify you if i decide to move forward with your company,"delay_conditional,excessive_contact"
238,name1 my son was involved in an auto accident and that is taking precedent at this time i will be in touch when things settle down thank you,"courtesy_or_statement,delay_family_sick,delay_conditional"
239,hi name1 i am keeping my current provider for the time being as your quote was basically twice the amount i currently pay thanks name2,"greeting,cost_too_high,chose_competitor"
240,well i would just like door alarm with camera n keypad that's all so not exactly sure what kind of plan but maybe camera for front door n back window to cover back yard front door goes to a hallway,"specific_equipment_cost,home_specifications"
241,hi sorry i've been away i es yes to inquire about two cameras for our house we were referred by a few friends that have your services and say great things,"specific_equipment_cost,greeting,apology"
242,your unrelenting harassment does not make me want to continue in purchasing i told you we were not ready yet and that i would reach out to you please stop calling and texting me,"dnc,delay_will_reply,excessive_contact"
243,i went with another system thank you for your follow up but i'm not looking anymore please take me off your list,"dnc,chose_competitor"
244,i don't think i'm still interested i don't believe that the system will work with my current cameras and doorbells thank you,"existing_system,not_interested"
245,i spoke to someone yesterday and they wanted down payment of money1 to schedule i would like to see written quote before scheduling,"transfer_success,what_does_it_cost,send_quote"
246,i just don't like the ideal for paying for the equipment for 5 year at money1 a month 4200 is a lot for service and equipment,"about_contract,cost_too_high"
247,name1 we currently have adt and just wanted to add cameras i dont think looking into vivint after buying all the security we already have could save us money or be worth it thank you for your time,"courtesy_or_statement,specific_equipment_cost,not_interested,chose_competitor"
248,i am more apt to purchase this if you will give me a monthly cost for back and front doors want the monitoring device to be 24 x 7 with night vision aswell,"specific_equipment_cost,what_does_it_cost"
249,hi there i'm still interesting in a system i do no move until this weekend i will try and give you a call about options soon,"delay_will_reply,greeting,is_interested,delay_new_house"
250,not yet just opened my eyes definitely getting system this week it'll most likely be thursday morning before i can get one,"schedule_call_day_n_time,delay_hours"
251,hi not ready as to the house appraised lower than my offer things up in the air and i have chosen to go with a different company as well thank you,"greeting,chose_competitor"
252,i was interested but i was told it would be 60 months of paying then it'll go down after that and i'm not interested,"about_contract,not_interested,is_interested"
253,my name is not name1 and i was never interested in home security please take my number off your list,"dnc,wrong_number,not_interested"
254,hi name1 i'm sorry but we've had a death in our family i am still interested but will have to wait a few days,"delay_funeral,greeting,is_interested"
255,im interested only need 2 outdoor cameras doorbell camera but don't want to be locked into a monitoring contract every month for years,"specific_equipment_cost,is_interested,no_monitoring"
256,i'm currently looking into other vendors that may ha e better offering looking to pay for only monitoring money1 per month not willing to pay for equipment,"cost_demand,delay_evaluating"
257,their water detection i have under the kitchen sink failed because they didnt have it mounted correctly and i had a huge problem they told me they couldn't come out for a week to check their system so i told them i wanted to cancel they came out the next dsy terrible customer service,"courtesy_or_statement,negative_call_center_experience"
258,hello and good morning i spoke to one of your representatives yesterday and we have a scheduled date for him to come out on 15 october will the free installation count towards that,"transfer_success,free_install,greeting"
259,good afternoon money1 is more than i want to spend right now i'm not interested in this right now thank you,"future_interest,cost_too_high"
260,we need to review pricing again as there were two options to purchase hardware upfront or it is included in the monthly payment do you have that information,"what_does_it_cost,buy_equipment"
261,hi name1 unfortunately i cannot afford 50 per month being a first time home owner thank you for reaching out but i will go with a less expensive security company,"greeting,cost_too_high,chose_competitor"
262,hi name1 i have decided not to get any organization1 service right now please do not contact me again right now,"dnc,greeting,not_interested"
263,i'll call tomorrow only interested in security i have doorbell camera automation on garage door and lights,"existing_system,schedule_call_day_n_time"
264,i am very interested in a quote and seeing what i can get i should be free around noon eastern time,"schedule_call_day_n_time,send_quote,is_interested"
265,greetings name1 we are looking to move and no longer interested in the investment for this home we will circle back in our new home thanks,"future_interest,greeting,not_interested"
266,hello name1 i would like to know how much is total cost 3 doors and two motions sensorsincluding monthly service thank you,"specific_equipment_cost,greeting"
267,hi name1 i now have adt but would like to have an idea with another company how much it will cost me i received a lot of messages from vivint but i would like to know approx how much monthly it will cost for the security in my home and being able to monitor my home when i am away thanks name2,"greeting,what_does_it_cost,send_quote"
268,im so sorry i haven't got back to u the streets are crazy no i dont need assistance thanks throw im a k9 handler but i really got to get back to u ok im sorry things are taking so long,"delay_will_reply,not_interested,apology"
269,hello name1 we're no longer interested in this service as my cousin has paid to have a home security installation done for my fathers home stop,"has_product,dnc,greeting,not_interested"
270,i'm available for the next 2 hours if you have any time and i'll be available later in the night as well,"schedule_call_day_n_time,call_now"
271,is there some sort of pamphlet you could send me so i have an idea of pricing and decide what security i want,"send_info,what_does_it_cost"
272,stuck in a contract with organization1 until date1 with payoff being 80 of remaining contract balance,"cost_demand,in_contract"
273,i'm sorry i cannot afford this service at this time please do not contact me regarding this service thank you,"dnc,needs_income,apology"
274,i answered but didn't hear anything i'm looking to get a doorbell camera camera fir back yard camera over garage door chime that lets you know the door is being open and a panel screen and mobile app,"specific_equipment_cost,system_error"
275,they said my credit didn't work out he said had to pay up front and i don't have that type of money but thanks anyways name1,"needs_income,credit_denied"
276,hi we are not building our home until next year the earliest i'm just exploring our options but thank you,"future_interest,greeting"
277,hi name1 ive talked to a couple sales reps i am also getting a couple quotes from other companies to compare i do see vivint has a more expensive monthly charge but so far the camera looks superior,"transfer_success,greeting"
