,phrase,intents
0,How long will it take to drive from Chicago to Mississippi,get_estimated_duration
1,Will it take shorter to get to the White House by bus or taxi?,unsupported_navigation
2,will I make it to the beach by noon if I leave now,"get_estimated_arrival,get_location"
3,When should I leave my house to get to the Hamilton Mall right when it opens on Saturday,"get_estimated_departure,get_location_home,get_location"
4,I need to know if there's a lot of traffic on my way home,"get_info_traffic,get_location_home"
5,What is the shortest way home,"get_directions,get_location_home"
6,how long will it take me to drive to fort collins,get_estimated_duration
7,how long would it take to ride a bus to jeddah from madina travelling at 8AM?,get_estimated_duration
8,Can you tell me what is happening at Liberty Science Center,"get_event,get_location"
9,traffic to Midway Airport,"get_info_traffic,get_location"
10,IS THERE TRAFFIC CONGESTION ON THE VERRAZZANO BRIDGE  ON THE WAY TO BROOKLYN,"get_info_traffic,get_location"
11,Music events in Minneapolis this weekend,get_event
12,What's the best route to take to the portland airport,"get_directions,get_location"
13,Is there any traffic if I drive to St George today,get_info_traffic
14,How is traffic heading to Dad's house,"get_info_traffic,get_location_home"
15,whats happening in san francisco tonight,get_event
16,Are there downed power lines on freemont ave that might make me late to the movie?,get_info_traffic
17,What shows are playing at the House of Blues we his week,"get_event,get_location"
18,If I take off now what time should I arrive at Fenway Park?,"get_estimated_arrival,get_location"
19,How many hours is it drive time between Knoxville and Memphis?,get_estimated_duration
20,best way to reach work today,"get_directions,get_location_work"
21,where is todays meeting in tacoma,get_event
22,Look up directions to nearest public parking near S Beritania Street,"get_directions,get_location,get_location"
23,I bought a new car,unsupported
24,Route to the mall,"get_directions,get_location"
25,star wars events near me today,"get_event,get_location"
26,find me the nearest gas station off of 5th ave north.,"get_location,get_location"
27,Is the rain making it  hard to get to the rugby tournament today?,"get_info_road_condition,get_event"
28,What's the traffic like heading in to work,"get_info_traffic,get_location_work"
29,What types of things can I do in Atlanta on the third weekend,get_event
30,how long will it take to get to D.C from baltimore,get_estimated_duration
31,Events in Wadsworth,get_event
32,How many miles apart is Los Angeles and Anaheim,get_distance
33,what's happening for families this weekend,get_event
34,how far is the history museum from mike's work?,"get_distance,get_location,get_location_work"
35,how long is the trip to grandma's,"get_estimated_duration,get_location_home"
36,How long will it take me to get to the Target on Centre Street in Abington,"get_estimated_duration,get_location"
37,Can I get heavy traffic alerts when there is a back up on my route to work,unsupported_navigation
38,Traffic estimate for Manhattan to JFK this afternoon,"get_info_traffic,get_location"
39,what are the roads looking like this morning,get_info_traffic
40,how long will the bus take to reach my destination,get_estimated_duration
41,How long is it going to take to get to the beach with traffic,"get_estimated_duration,get_location"
42,Find me something to do in Boston this weekend,get_event
43,Photography classes in Ukiah,get_event
44,How far is it from Denver to Los Angeles,get_distance
45,Are there any good bands coming through New York this week,get_event
46,christmas parties this december,get_event
47,Take me to office from highway via mall road,"get_directions,get_location_work,get_location"
48,how long will it take me to get to the mall,"get_estimated_duration,get_location"
49,Is there any holiday plays to see this weekend in San Jose,get_event
50,how long will it take me to drive to my 4pm meeting,"get_estimated_duration,get_event"
51,Are there any Christmas Parades in NH in December,get_event
52,Help me find an event in Birmingham this weekend,get_event
53,Get the time to RI taking Route 128,get_estimated_duration
54,Tell me about things to do in Atlanta on New year's Eve,get_event
55,How long will it take me to reach the OSF hospital today,"get_estimated_duration,get_location"
56,Are any Fourth of July festivals pet friendly,get_event
57,Any events available in Madison Heights this morning,get_event
58,Give me the traffic report for today,get_info_traffic
59,What is the least gas consuming route?,unsupported_navigation
60,What is going on for tomorrow,get_event
61,will traffic delay me getting home today,"get_estimated_duration,get_location_home"
62,Will I hit traffic on this route,get_info_traffic
63,How long is the traffic backed up to get into MIS today,"get_info_traffic,get_location"
64,Are there any accidents on my commute home,"get_info_traffic,get_location_home"
65,Would I be able to get from here to Montauk by 1pm,"get_estimated_arrival,get_location"
66,when should I arrive home based on the traffic,"get_estimated_arrival,get_location_home"
67,is there still parking available in the free parking lot at Qualcomm,unsupported_navigation
68,Give me directions to ACME,"get_directions,get_location"
69,what's the fastest way to get to the fall out boy concert?,"get_directions,get_event"
70,What time should I leave Kris hair salon to reach Heba's wedding before 7 pm?,"get_estimated_departure,get_location,get_event"
71,What is going on today,get_event
72,Is there a detour to get out of this traffic,update_directions
73,"How long will it take me to get to the Hangout Festival in Gulf Shores, AL from my home?","get_estimated_duration,get_event,get_location_home"
74,how heavy is traffic in my area,"get_info_traffic,get_location"
75,any police activity on main street today,unsupported_navigation
76,"When is the latest I can leave work at make my 3pm meeting in South Lyon, avoiding the freeway.","get_estimated_departure,get_location_work,get_event"
77,What's traffic like from Newport to Portland,get_info_traffic
78,If I leave Thursday morning to get to my brothers house how much traffic can I expect to have?,"get_info_traffic,get_location_home"
79,What time should I leave to make it to the Alahly's game by 7pm?,"get_estimated_departure,get_event"
80,How far is it from Asheville NC to Ocean Isle NC,get_distance
81,how is traffic from here to Schaumburg,"get_info_traffic,get_location"
82,what is the distance to east hills mall,"get_distance,get_location"
83,Is this highway to lanes the whole way,unsupported_navigation
84,Should I walk to Borough Market or take a cab from here?,unsupported_navigation
85,Is Jack going to the concert,get_event_attendee
86,Wine tasting events near me,"get_event,get_location"
87,what is the distance between bolingbrook and new orleans,get_distance
88,Show me a faster route,update_directions
89,"Dinner is at 5pm, if I am travelling on 64 what time should I leave the house?","get_estimated_departure,get_event,get_location_home"
90,are there any slowdowns between here and downtown,"get_info_traffic,get_location"
91,Which route is the quickest to take to get to work this morning,"get_directions,get_location_work"
92,If I get off at route 9 and switch to fortlane rd will I get there quicker,unsupported_navigation
93,Will there be a white Christmas,unsupported
94,How long to get to Lance's if I leave right now?,"get_estimated_duration,get_location_home"
95,Are there any sporting events in San Jose today,get_event
96,Free Christmas lights to see near me,"get_event,get_location"
97,City hall location near my house,"get_location,get_location,get_location_home"
98,What is the traffic like near Asheville,"get_info_traffic,get_location"
99,fastest route to avoid traffic downtown,get_directions
100,What's the distance between New York and France,get_distance
101,How do I get downtown?,get_directions
102,"I'm wanting to get into running, can you tell me if there's any events happening for runners nearby","get_event,get_location"
103,What time do I need to leave Norman to arrive in Oklahoma City by five o'clock?,get_estimated_departure
104,Destination arrival time please,get_estimated_arrival
105,What time should I leave to make to to the theater by 4,"get_estimated_departure,get_location"
106,What kind of events are happening today,get_event
107,what artsy event can i go to tomorrow night downtown,get_event
108,any concert presales going on at the BJCC,"get_event,get_location"
109,How is the traffic in downtown Kansas City around 10am?,get_info_traffic
110,Why is everyone suddenly slowing down,get_info_traffic
111,Are there sales events at the local mall,"get_event,get_location"
112,Please tell me how long it will take me to arrive home,"get_estimated_duration,get_location_home"
113,There is an accident on 39th Ave.What road should I take to get to the 13th With at least amount of traffic,get_directions
114,Is Metro Community College having cooking classes,"get_event,get_location"
115,Things to do in Montgomery Alabama,get_event
116,Is there any concert that is playing tonight in San Jose,get_event
117,zagat rated in theater district,unsupported
118,"If I leave right now, can i get to New York City before one o clock PM?",get_estimated_arrival
119,Christmas events in New York,get_event
120,How long does it take to get to brookeville by bus?,get_estimated_duration
121,Hotel events in Miami,get_event
122,Concerts by ACDC,get_event
123,How many more miles before traffic lets up,unsupported_navigation
124,is there heavy traffic in phoenix right now,get_info_traffic
125,traffic report for nashville,get_info_traffic
126,what's the distance between Greenville NC and Atlanta,get_distance
127,What is the traffic like from Chicago to Detroit,get_info_traffic
128,How long will it take me to get to the theatre,"get_estimated_duration,get_location"
129,Please update me on traffic to work,"get_info_traffic,get_location_work"
130,concerts by p diddy,get_event
131,How long will it take me to get to Cindy's house?,"get_estimated_duration,get_location_home"
132,is traffic light today since it is a holiday,get_info_traffic
133,Any traffic delays on Highway 5,get_info_traffic
134,Is traffic normally slow during this time of day on Frederica Street,get_info_traffic
135,how long will it take to drive to Orlando today,get_estimated_duration
136,When is the Pink concert coming near me,"get_event,get_location"
137,Is there traffic to home,"get_info_traffic,get_location_home"
138,How long will it take from my house to NY city using toll roads?,"get_estimated_duration,get_location_home"
139,brantley gilbert concerts,get_event
140,Get the time to Sandusky using Route 2.,get_estimated_duration
141,How long will it take to drive home from here,"get_estimated_duration,get_location_home,get_location"
142,What is required to obtain a driver licence at the age of 17 in Texas?,unsupported
143,How long is the interstate shut down,unsupported_navigation
144,Are there any music events this month,get_event
145,Was there an accident,get_info_traffic
146,Can I take a detour at exit 30 and then take Allen road to get to Varun's house.,"get_directions,get_location,get_location_home"
147,"I'm leaving in 10 minutes, what time should I arrive at the park?","get_estimated_arrival,get_location"
148,How many lanes is 131 south,unsupported_navigation
149,How many miles are there between Arkansas and California,get_distance
150,What time will I be home tonight,"get_estimated_arrival,get_location_home"
151,Holiday festivals near me this weekend,"get_event,get_location"
152,How much time is affected to arrive home from this accident ?,"get_estimated_duration,get_location_home"
153,free concerts in Orlando next week,get_event
154,driving time from Apache to Lawton,get_estimated_duration
155,Any lane closures along I-70 Kansas,unsupported_navigation
156,Motorcycle rallies in 2018,get_event
157,Are there any accidents on 92,get_info_traffic
158,What's fun around here,"get_event,get_location"
159,accidents please,get_info_traffic
160,can I get from here to my job location before 2:30 p.m?,"get_estimated_arrival,get_location,get_location_work"
161,Are any of my girlfriends attending events for toddlers this month?,unsupported
162,Festivals near me,"get_event,get_location"
163,best place to eat a gyro near me,unsupported
164,Did the rain cause the bridge road to flood?,"get_info_road_condition,get_location"
165,Can I get to Dallas on this  route?,get_directions
166,When is the next Miley Cyrus concert,get_event
167,"If I leave Newport by 8 am, will I get to Seaside by 3 pm?",get_estimated_arrival
168,How long is the traffic going to set me back,get_estimated_duration
169,What is the best way for me to get to the AT&T center?,"get_directions,get_location"
170,Are the streets clear on my way home,"get_info_traffic,get_location_home"
171,New years eve parties,get_event
172,When will the next eclipse be?,get_event
173,how is traffic from here to LA,"get_info_traffic,get_location"
174,Is there any traffic congestion near Whitman center?,"get_info_traffic,get_location"
175,Is there an accident on 152 Hwy,get_info_traffic
176,Get the time to the car free day area using train,"get_estimated_duration,get_location"
177,Are the roads icy this morning on the way to Tina's house?,"get_info_road_condition,get_location_home"
178,how long will it take to drive from detroit to Chicago,get_estimated_duration
179,Can I drive from Edmonds to Bellingham and avoid any highway construction?,get_info_traffic
180,will i arrive to the music festival at 6th October stage before dawn if i leave at 1 am,"get_estimated_arrival,get_event,get_location"
181,Could you please tell me what the traffic is like for the Kansas City area,get_info_traffic
182,is there any slow moving traffic in San Jose for the football game in the evening.,"get_info_traffic,get_event"
183,What is the distance between Rocky Mount and Cleveland,get_distance
184,Any traffic stopped,get_info_traffic
185,What is traffic like on the way to Andrew's work,"get_info_traffic,get_location_work"
186,"If I leave Shakespeare in the Park at 6 pm, when will I get to Portland?","get_estimated_arrival,get_event"
187,Museum shows in the city this weekend,"get_event,get_location"
188,"Using the I-10 freeway, how long will it take me to get to Victoria Gardens?","get_estimated_duration,get_location"
189,How long should I add to my commute for construction delays,get_estimated_duration
190,Music events in Charleston next month,get_event
191,Need directions from my house to the Cleveland Clinic for my daughters appointment at 8 this morning,"get_directions,get_location_home,get_event,get_location,get_contact"
192,Traffic for the next month please,get_info_traffic
193,What family activities are happening in Placer County,get_event
194,what is the distance from Miami to Washington DC,get_distance
195,Free festivals in Charlotte next year,get_event
196,let me know what the traffic is like when I leave work,"get_info_traffic,get_location_work"
197,Distance between  Spain and Portugal,get_distance
198,concerts by janet jackson,get_event
199,Christmas music events in Tampa this friday,get_event
200,Movie in the park events nearby this week,"get_event,get_location,get_location"
201,Escape the room tickets for this weekend in Philadelphia,unsupported_event
202,are there any traffic accidents on my way home,"get_info_traffic,get_location_home"
203,Is there any construction on the way to the zoo,"get_info_traffic,get_location"
204,What will my commute be like today as far as traffic,get_info_traffic
205,events this weekend,get_event
206,what are the current traffic conditions in st. louis,get_info_traffic
207,"How long will it take me to get to Sandi's house, if I leave my mom's now?","get_estimated_duration,get_location_home,get_location_home"
208,Where does the Nutcracker play the week of before Christmas,get_event
209,Directions to school.,"get_directions,get_location_school"
210,How is the traffic in Georgia today,get_info_traffic
211,does the local bus provide regular service to the airport,unsupported_navigation
212,The best place to go dancing on Friday night in Roseville,get_event
213,Why is the freeway so backed up today,"get_info_traffic,get_location"
214,Is their an E-Sports Lounge with a Grill nearby,unsupported
215,How long is the bus ride from Market Street to the Beyonce concert tonight?,"get_estimated_duration,get_event"
216,where can I go cross country skiing,get_event
217,Anything fun to do this weekend,get_event
218,what is there to do in Portland tonight,get_event
219,Is The Interchange in downtown Birmingham open again now and if not what route can I take to get around downtown Birmingham,unsupported_navigation
220,What Broadway shows are currently playing in New York,get_event
221,why is the traffic so bad in orange county this week,get_info_traffic
222,Any good classical musicals going on in Portland next week,get_event
223,What cruises are leaving out of Galveston in April,get_event
224,What are my options for public transportation to get downtown right now?,unsupported_navigation
225,What time of day is the traffic heaviest in Tampa,unsupported_navigation
226,I'm looking for any Broadway show happening tonight,get_event
227,Time to get to Strongsville,get_estimated_duration
228,what are the dates for the Boat Parade of lights in Havasu this month,get_event
229,Whats going on Saturday Night,get_event
230,How many hours is a flight from San Diego to Omaha,get_estimated_duration
231,Country concerts in Portland in January,get_event
232,How long will it take me to reach the nearest fueling station,"get_estimated_duration,get_location"
233,How long will it take to get there with the traffic today,get_estimated_duration
234,Any live wrestling shows in town this weekend,"get_event,get_location"
235,"Where is the sign that reads """"We Love Tacos"""" in San Antonio",unsupported
236,What shows are at the Stadium Theater in January,"get_event,get_location"
237,What is the driving time between Riverton and Buffalo,get_estimated_duration
238,How long is the drive for Shenandoah to Bedford,get_estimated_duration
239,Holland Center concerts next month,"get_event,get_location"
240,How long is the drive to Macomb Mall,"get_estimated_duration,get_location"
241,Are there any delays on the way to the Cubs game right now?,"get_info_traffic,get_event"
242,will traffic be heavy this weekend,get_info_traffic
243,How much traffic will be on the I5 right now,get_info_traffic
244,What is happening near me,"get_event,get_location"
245,Christmas events,get_event
246,how long will it take to get to grand junction,get_estimated_duration
247,Find directions to a Whole Foods that is near a movie theatre,"get_directions,get_location,get_location"
248,How long will it take me to get a bus at Sample Road and University Drive bus stop if I am there at 8:00am?,unsupported_navigation
249,How long will it take to get to Lisa's house by bus?,"get_estimated_duration,get_location_home"
250,Is there construction on my route to work,"get_info_traffic,get_location_work"
251,Is the freeway clear from here to the beach right now,"get_info_traffic,get_location,get_location,get_location"
252,have they opened the 101 since the fires,get_info_road_condition
253,How is traffic on the Parkway,"get_info_traffic,get_location"
254,how long will it take to get to my doctors appointment at 3 pm if i don't take the highway,"get_estimated_duration,get_event,get_location"
255,Where can I get turtle food?,unsupported
256,when will i get home,"get_estimated_arrival,get_location_home"
257,any delays on I-77 North,get_info_traffic
258,If I leave at 3pm will I make it to the doctor by 3:30?,"get_estimated_arrival,get_location"
259,How long does it take to get to CenturyLink Field by bus from Federal Way?,"get_estimated_duration,get_location,get_location"
260,How much will traffic add to my time to get to East Corning?,get_estimated_duration
261,Is the snow blocking route 5,get_info_road_condition
262,What time I need to leave my house to make it to Eagles game by 4pm?,"get_estimated_departure,get_location_home,get_event"
263,How long will it take for me to drive to my dad's restaurant to make it there before noon?,"get_estimated_duration,get_location_work"
264,Can you let me know what the traffic looks like right now,get_info_traffic
