,phrase,intents
200,i will call your company as soon as i have free time available what are the hours of operation for the organization1,"['agent_contact_info', 'delay_conditional']"
201,can you just send a few options to consider i live in a frilevel 1500 sf condo only one door and two windows are accessible from the main floor plus the door to the garage i had cox home life for several years but decided to stop their cable and internet home life only works with their internet i had sensors on the two doors two lower level windows and one motion detector i'm looking for a low budget option thanks,"['cost_demand', 'send_info', 'home_specifications']"
202,please stop contacting me daily you're driving me nuts i will contact you when i'm ready to purchase thank you,"['dnc', 'delay_will_reply', 'excessive_contact']"
203,are you open monday i am busy this week at work and checking on my new home it will be finished date1 i am looking for video cameras for the front back and inside my home we are looking for window alarms and keyless entry and 24hr monitoring and the ability to download it on our phone and a monthly budget of about money1 a month can you help with this we are looking at adt and brinks as well,"['specific_equipment_cost', 'schedule_call_day_n_time', 'cost_demand', 'new_home']"
204,no i have spoke with a organization1 occupation1 and it is t going to work please take me off the list thanks,"['dnc', 'transfer_success']"
205,i would like the organization1 doorbell and security system with home panel door alerts and five camera outside the house please provide a quote again i am unable to talk at this time,"['text_only', 'specific_equipment_cost']"
206,in the meantime what we are looking for is security for a newly purchased home specifically we must have camera on front door security sensors on 4 access doors to house and monitored security we would like to explore options for making the house a smart home locks thermostat etc i will call later to discuss also we have a referral code from a neighbor we would like to use,"['specific_equipment_cost', 'is_interested', 'delay_will_reply', 'promo_info', 'new_home']"
207,the other option is for half of what we wanted and we had to install ourselves through our doorbell and my husband is not handy so i cant do that,"['cost_demand', 'free_install']"
208,can you remove me from the calling and text list thank you i no longer need the services organization1 provides,"['dnc', 'not_interested']"
209,i just had the adt system that was previously installed activated so unless you can offer me a better deal maybe with cameras i'm no longer looking for a security monitoring service,"['cost_demand', 'not_interested', 'chose_competitor']"
210,yea viviant wanted me to pay for the equipment up front the others roll it into their monthly plans,"['courtesy_or_statement', 'buy_equipment']"
211,thank you name1 but we've already decided on a much more affordable system for the short term we may reconsider drug1 in the future once we settle on our forever home,"['future_interest', 'chose_competitor']"
212,yes i have that now and was looking to switch i just dont want to buy the equipmentrenting monthly is what i am interested in,"['confirmation', 'is_interested', 'buy_equipment']"
213,hi name1 i'm waiting to close on my house we are hoping for the 19th of next month please stay in touch,"['greeting', 'is_interested', 'delay_new_house']"
214,okay if thats all the discount covers then the number i was shared was purely equipment costs which are still too high in that case,"['promo_info', 'cost_too_high']"
215,my address is location1 i would be more than willing it get service but so far people have quoted me prices that are to high 29 is as night as i will go if that can happen i would love to sign a contract,"['cost_too_high', 'is_interested', 'cost_demand']"
216,i called several times i want to have a quote from vivint before i make a decision we have two other hand quotes here is what we are quoting 4 outdoor cameras 1 door bell with camera 2 touch screen control panels 15 door window alarms computer and telephone software if needed cost of hardware if purchases monthly service charge monthly service charge if we pay via monthly charges,"['specific_equipment_cost', 'send_quote', 'what_does_it_cost']"
217,hi name1 i was really interested in your system however i am not able to pay for all of the equipment out of pocket right now so im going to have to explore other options,"['delay_evaluating', 'greeting', 'is_interested', 'needs_income']"
218,not yet just opened my eyes definitely getting system this week it'll most likely be thursday morning before i can get one,"['schedule_call_day_n_time', 'delay_hours']"
219,hi unfortunately not able to talk right now however i just want to know we already have a ring doorbellcamera system i just wanted to inquire what vivint charges monthly we already have a system in our home looking to shop around for better deals thank you,"['existing_system', 'greeting', 'delay_hours', 'what_does_it_cost']"
220,name1 my son was involved in an auto accident and that is taking precedent at this time i will be in touch when things settle down thank you,"['courtesy_or_statement', 'delay_family_sick', 'delay_conditional']"
221,hello name1 thank you for the chance to talk what is required for a qoute we live in a triple wide mobile with a dettached 6 car garage,"['courtesy_or_statement', 'greeting', 'home_specifications']"
222,good morning name1 i work third shift so i'm not able to get to my phone sometimes during the day because i'm at work from night into the day and i sleep during the day sometimes,"['greeting', 'delay_work']"
223,no thanksmy hubby and i talked about it and decided it was a bit expensive and we don't really want monitoring,"['not_interested', 'no_monitoring', 'needs_income']"
224,thank you for your answer however i wasn't looking for a doorbell with a monthly payment plan i just wanted to monitor who was coming to my door allowing heshe to come or not i didn't like the vivint system because of that,"['courtesy_or_statement', 'not_interested', 'cost_too_high']"
225,i might could call later this afternoon i'm sorry it's hard to usually have phone conversations i was really just wanting a quote home much it would be monthly and up front our home is already wired with vivent security we have the panel and it only works half the time bc we don't know the passcode to do much on it and don't have an account i would be willing to pay for services if i knew how much and all that but i do already have the door bell 2 other security cameras and the vivent panel in my living room,"['existing_system', 'schedule_call_day_n_time', 'what_does_it_cost']"
226,name1 we are very busy packing up and moving right now this is not the best time currently i am tied into a monitoring contract with front point security for the next four months at the end of the contract we will look into who we want to work with next i would be happy to consider your company if you can hold the free installation offer and offer monthly monitoring that is lower than front point thank you,"['future_interest', 'free_install', 'cost_demand']"
227,i'm not interested i spoke with another agent and the price don't suite me thanks and please don't contact me again good day,"['dnc', 'not_interested']"
228,hi name1 please remove me from notifications i am not buying drug1 thank you for understanding,"['courtesy_or_statement', 'dnc', 'greeting', 'not_interested']"
229,yes i've decided not to move forward and going in another direction thank you please remove my number from your list,"['dnc', 'has_product']"
230,i'm sorry but the main issue is the extremely high product cost of money1 i have the same configuration from another high quality supplier at money2 which is much more reasonable and this works in the same way as your system the monthly cost from them is money3 and i pay the money2 up front,"['cost_too_high', 'apology', 'chose_competitor']"
231,it's old small house nothing fancy so how much would it cost for 2 doorbell systems and for one outside camera,"['send_quote', 'buy_equipment']"
232,ok basically what i'm looking for is at least 1 ring doorbell camera 3 door contacts 2 motion sensors app for phone to monitor 99 refundable deposit 5399 per month after 3 years it drops 10 and stays at the cheaper price regardless so far this is the quote i received so when we speak you'll at least have something to work with,"['cost_demand', 'confirmation', 'specific_equipment_cost']"
233,i've told 3 occupation1 already i'm moving in a month i just wanted to get an early quote to price shop companies ahead of our closing date,"['transfer_success', 'delay_new_house', 'what_does_it_cost']"
234,at this point it will be after january 31 2022 thank you with appreciation happy holidays merry christmas and wishes for you folks to have a blessed new year nora boone,"['future_interest', 'courtesy_or_statement']"
